ile-de-france	75,77,78,91,92,93,94,95
picardie	02,60,80
nord-pas-de-calais	59,62
alsace	67,68
aquitaine	24,33,40,47,64
auvergne	03,15,43,63
basse-normandie	14,50,61
bourgogne	58,71,89,21
bretagne	22,29,35,56
centre	18,28,36,37,41,45
champagne-ardennes	08,10,51,52
corse	2A,2B
france-comte	25,39,70,90
haute-normandie	27,76
languedoc-roussillon	11,30,34,48,66
limousin	19,23,87
lorraine	54,55,57,88
midi-pyrenees	09,12,31,32,46,65,81,82
pays-de-la-loire	44,49,53,72,85
poitou-charentes	16,17,79,86
provence-alpes-cote-d-azur	04,05,06,13,83,84
rhone-alpes	01,07,26,38,42,69,73,74
mayotte	976
la-reunion	974
guyane	973
martinique	972
guadeloupe	971
france	75,77,78,91,92,93,94,95,02,60,80,59,62,67,68,24,33,40,47,64,03,15,43,63,14,50,61,58,71,89,21,22,29,35,56,18,28,36,37,41,45,08,10,51,52,2A,2B,25,39,70,90,27,76,11,30,34,48,66,19,23,87,54,55,57,88,09,12,31,32,46,65,81,82,44,49,53,72,85,16,17,79,86,04,05,06,13,83,84,01,07,26,38,42,69,73,74
